India,Sri lanka,England,Australia,West Indies,South Africa,Pakistan,Bangladesh
Virat Kohli(C),Dasun Shanka(C),Eoin Morgan(C),Aaron Finch(C),Kieron Pollard(C),Temba Bavuma(C),Babar Azzam(C),Mahmadulla Riyaz(C)
Rohit Sharma ,Kusal Perera(WK),Jos Buttler(WK),David Warner,Dwayne Bravo,Quinton De Kock(WK),Mohamed Rizwan(WK),Shakib al Hassan
KL Rahul,Wanindu Hasaranga,Dawid Malan,Steve Smith,Chris Gayle,David Miller,Shoab Malik,Mushfiqur Rahim
Hardik Pandya,Charith Asalanka,Jonny Bairstow,Glen Maxwell,Jason Holder,Aiden Markram,Mohamed Hafeez,Litton Das(WK)
Rishabh Pant(WK),Dushmantha Chameera,Moeen Ali,Mitchel Starc,Evin Lewis,Kagiso Rabada,Shaheen Shah Afrdi,Mehedi Hassan
Jasprit Bumrah,Chamika Karunarathe,Adil Rashid,Josh Hazelwood,Lendl Simmons,Anrich Notje,Hassan Ali,Mustafizur Rahman
Ravinder Jadeja,Lahiru Kumara,Tymal Mills,Pat Cummins,Nicholas Pooran(WK),Tabraiz Shamsi,Imaad Wasim,Taskin Ahamed
Ishan Kishan,Pathum Nissanka,Jason Roy,Adam Zampa,Shimron Hetmayar,Keshav Maharaj,Asif Ali,Mohammad Naim
Shradul Thakur,Avishka Fernando,Chris Woakes,Marcus Stoinus,Andre Russel,Dwayne Pretorius,Harris Rauf,Afif Hossain
Varun Chakravathy,Bhanuka Rajapaksa,Chris Jordan,Mathew Wade(WK),Ravi Rampaul,Reeza Hendricks,Fakhar Zaman,Shoriful Islam
Mohamed Shami,Maheesh Theekshana,"Liam Livingstone,",Ashton Agar,Akeel Hossain,Bjorn Fotuin,Shadab Khan,Soumya Sarkarr
